Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Poland;9.7;4.7;-;12.7;-;-;-;-;-;-;13.1;12.6;12.4;12.5
Portugal;9.6;-;-;3.9;-;-;11.7;-;-;5.9;10.5;9.3;10.8;11.7
Puerto Rico;-;-;-;-;-;-;3.2;-;-;-;-;-;10.7;11.1
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;19.3
Romania;-;-;-;-;-;-;5;5.9;6.9;5.1;12.5;13.2;12.4;16
Russia;-;3.5;-;-;-;7.3;3.8;4.5;4.6;4.4;5.1;5.4;6.2;5.8
Saudi Arabia;-;-;-;-;-;-;-;-;7.9;12.1;-;-;-;-
Serbia;-;-;-;-;-;-;12.1;10;7;-;-;-;-;-
Singapore;8.7;9.3;6.5;8.2;9.6;5.9;-;-;-;-;6;13.2;13.2;14.8
Slovak Republic;-;-;-;-;-;-;-;-;-;-;20.3;13.7;11.7;14.4
Slovenia;-;6.4;6.4;3.6;5.8;6.9;6.8;8.8;8;6.4;4.6;8.1;8.8;8.3
South Africa;8.7;7.2;4.6;5.7;5.8;5.8;-;9.6;7.1;9.6;11.3;8.9;12.3;7.7
Spain;7.4;6.6;9.3;7.4;7.2;8.8;9.7;8.1;6.3;5.4;7.1;7.4;6.2;6.4
Suriname;-;-;-;-;-;-;-;-;-;-;-;-;6.8;2.7
Sweden;7.1;5.2;6.1;5.2;5.1;4.4;5.8;-;-;6.2;7.1;8;10.2;9.5
Switzerland;-;9.4;10.2;-;7.2;-;7.6;-;8.9;5.6;6.6;6.4;8.3;7
Syria;-;-;-;-;-;-;-;-;13.6;-;-;-;-;-
Taiwan;-;5.2;-;-;-;-;-;-;-;10.5;10.2;9.1;11.1;10.2
Thailand;-;19.3;-;-;22.2;16.2;27.8;-;-;-;18.1;17.3;18;24.5
Tonga Islands;-;-;-;-;-;-;-;-;16.2;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;-;-;-;-;15.7;27.4;16.7;23.3;16.1
Tunisia;-;-;-;-;-;-;-;-;13.7;8.2;-;6.8;-;-
Turkey;-;-;-;-;-;8.5;8.7;9.4;-;13.5;16.5;17.5;13.5;-
Uganda;-;-;35.4;37.8;-;-;-;-;37.8;32.2;-;36;25.3;33.7
United Arab Emirates;-;-;-;-;-;5.9;10;-;15.7;-;6.9;-;-;-
United Kingdom;9.3;7.5;8.8;8.5;8.6;7.9;7.4;8.1;7.8;8.4;9.3;11.6;8.8;13.8
United States of America;13.3;13;15.7;11.9;15.2;12.7;12;12.7;10.1;8.2;14.3;15.2;15.1;16.5
Uruguay;-;-;-;-;-;16.6;17.3;15.3;16.9;15;21.2;19.9;19.7;19.2
Vanuatu;-;-;-;-;-;-;-;-;-;58.6;-;-;-;-
Venezuela;-;-;28.5;-;26.1;-;23.5;-;19.6;-;16.4;-;-;-
Vietnam;-;-;-;-;-;-;-;-;-;-;-;-;16.8;15.1
Yemen;-;-;-;-;-;-;-;-;;;;;;
