Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Portugal;3.8;-;-;3.8;-;-;5.9;-;-;3;4.7;6.2;5.8;8.4
Puerto Rico;-;-;-;-;-;-;3;-;-;-;-;-;6.1;9.1
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;10.3
Romania;-;-;-;-;-;-;3.1;2.1;3.2;3.2;7.3;5.3;7.9;6.6
Russia;-;1.5;-;-;-;2.6;1.6;2.5;3.2;3.5;4.1;3.4;5.3;3.7
Saudi Arabia;-;-;-;-;-;-;-;-;0.7;5.9;-;-;-;-
Serbia;-;-;-;-;-;-;5.1;5.2;2.8;-;-;-;-;-
Singapore;3.4;2.7;3.5;3.3;5;3.7;-;-;-;-;7.2;10;8.2;7.2
Slovak Republic;-;-;-;-;-;-;-;-;-;-;8.1;6.7;7.3;7.4
Slovenia;-;2.9;1.7;1.6;2.9;2.3;2.7;4;2.6;2.9;2.7;2.6;4;4.3
South Africa;4.5;5.5;3.9;4.8;4.5;4.5;-;5.9;4.7;8.1;7;5.7;9;6.3
Spain;5.2;2.6;4;2.9;4.2;5.7;5.5;6;3.9;3.2;4.5;4;4.2;4.6
Suriname;-;-;-;-;-;-;-;-;-;-;-;-;3.5;1.5
Sweden;4.2;2.5;2.1;2.2;3;2.4;2.5;-;-;3.5;4.5;4.8;6.2;3.8
Switzerland;-;4.8;4.3;-;4.9;-;4.9;-;6.6;4.5;6.6;5.5;8;7.2
Syria;-;-;-;-;-;-;-;-;3.1;-;-;-;-;-
Taiwan;-;3.3;-;-;-;-;-;-;-;6.3;5.6;6;5.3;6.8
Thailand;-;18.5;-;-;19.3;14.2;26;-;-;-;20.9;20.6;17.3;22.1
Tonga Islands;-;-;-;-;-;-;-;-;18.6;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;-;-;-;-;14.3;18;13.2;15.6;13.2
Tunisia;-;-;-;-;-;-;-;-;5.1;4.1;-;2.9;-;-
Turkey;-;-;-;-;-;3.5;2.4;2.4;-;3.7;7.2;6.9;6.3;-
Uganda;-;-;22.3;25.5;-;-;-;-;30;30.5;-;35.5;25.1;37.2
United Arab Emirates;-;-;-;-;-;0.3;6;-;6.3;-;4.3;-;-;-
United Kingdom;3.6;3.2;3.8;3.9;3.7;3.6;3.6;3.7;3.7;4.4;5.2;6.3;5.5;7.5
United States of America;9;8.3;8.1;10.7;9.6;7.4;7.2;8.8;5.8;7;10.4;10.5;10.4;11.2
Uruguay;-;-;-;-;-;8.5;7.2;8.6;7.5;8.7;12.8;10;9;13.2
Vanuatu;-;-;-;-;-;-;-;-;-;45.4;-;-;-;-
Venezuela;-;-;25.1;-;23.8;-;16.8;-;17.8;-;14.4;-;-;-
Vietnam;-;-;-;-;-;-;-;-;-;-;-;-;13.9;15.5
Yemen;-;-;-;-;-;-;-;-;;;;;;
