Country;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Portugal;2.1;-;-;2.1;-;-;4.8;-;-;1.9;4.6;4.3;4.2;5.8
Puerto Rico;-;-;-;-;-;-;1.6;-;-;-;-;-;6.6;8.8
Qatar;-;-;-;-;-;-;-;-;-;-;-;-;-;11.3
Romania;-;-;-;-;-;-;2.9;2.5;2.8;3.3;5.6;5.5;6.2;5.3
Russia;-;1;-;-;-;3.4;1.3;1.7;1.8;2.2;2.4;2.7;3;2.4
Saudi Arabia;-;-;-;-;-;-;-;-;2.9;6.3;-;-;-;-
Serbia;-;-;-;-;-;-;4.7;4;2.2;-;-;-;-;-
Singapore;2;4;3;3.1;3.9;2.7;-;-;-;-;3.8;7.6;6.4;6.4
Slovak Republic;-;-;-;-;-;-;-;-;-;-;9.2;6.6;6.1;6.7
Slovenia;-;3.3;3;1.9;3;2.9;3;4.1;3.2;2.2;1.9;2.9;3.6;3.8
South Africa;3.9;4.5;2.7;3.7;3.5;3.4;-;5.7;3.6;5.1;5.2;4.3;6.6;3.9
Spain;3.3;2.2;4.6;2.1;2.4;3;3.5;3.3;2.3;2.2;3.3;3.4;3.1;3.3
Suriname;-;-;-;-;-;-;-;-;-;-;-;-;3.9;1.9
Sweden;1.9;1.8;2;1.7;1.7;2.2;1.9;-;-;2.3;3.5;4.6;5.9;4.9
Switzerland;-;4.4;4.2;-;2.6;-;3.5;-;4.3;2.2;3.7;2.9;4.5;3.4
Syria;-;-;-;-;-;-;-;-;3.4;-;-;-;-;-
Taiwan;-;1.3;-;-;-;-;-;-;-;4.7;3.6;3.3;3.3;4.4
Thailand;-;11.6;-;-;9.7;4.1;9.4;-;-;-;8.3;8.7;7.9;7.6
Tonga Islands;-;-;-;-;-;-;-;-;6.5;-;-;-;-;-
Trinidad & Tobago;-;-;-;-;-;-;-;-;-;8.9;13.9;8.8;11.4;7.5
Tunisia;-;-;-;-;-;-;-;-;2.2;1.7;-;2.4;-;-
Turkey;-;-;-;-;-;2.2;1.9;3.2;-;3.7;6.3;7.3;5.5;-
Uganda;-;-;14.5;16;-;-;-;-;12.4;10.7;-;9.6;5.6;8.9
United Arab Emirates;-;-;-;-;-;1.7;4.6;-;6.5;-;3.7;-;-;-
United Kingdom;3.3;2.5;3.4;3.4;3.4;3.2;2.9;3.1;2.7;3.2;4.7;5.3;3.6;6.3
United States of America;8.1;7.1;8;7.4;8.8;7.4;6.5;5.9;4.9;4.9;8.3;8.9;9.2;9.7
Uruguay;-;-;-;-;-;8.3;7.4;7.7;8.1;7.8;11;10.2;8.5;10.5
Vanuatu;-;-;-;-;-;-;-;-;-;32.3;-;-;-;-
Venezuela;-;-;18.7;-;18.8;-;14.5;-;13.3;-;13.1;-;-;-
Vietnam;-;-;-;-;-;-;-;-;-;-;-;-;4;2
Yemen;-;-;-;-;-;-;-;-;;;;;;
